@id,@lat,@lon
18169431,43.9540027,-95.6981655
92800576,43.1740802,-95.4818623
92821247,43.1781415,-95.4828470
96649800,43.1802960,-95.8309476
100525800,43.1746257,-95.8319791
112990094,42.9285967,-95.3310392
113012911,42.9415934,-95.3434922
113048123,42.9185865,-95.3504058
113048167,42.9183423,-95.3527286
113421797,42.9287217,-95.3756724
113421798,42.9334649,-95.3855135
113421808,42.9240447,-95.3603359
113421809,42.9258933,-95.3660148
113454939,42.9247712,-95.3817530
113454972,42.9151613,-95.3616600
113454983,42.9168195,-95.3780532
113454986,42.9237936,-95.3727636
113460327,42.9109291,-95.3547861
113513107,42.9058806,-95.3579994
113513181,42.9070922,-95.3723271
113513189,42.9076444,-95.3825217
113513205,42.9046196,-95.3682715
113621043,42.9319945,-95.3499020
113621102,42.9364071,-95.3533570
113621118,42.9293652,-95.3613242
113621132,42.9302895,-95.3539787
113753042,42.9415636,-95.3623823
113753072,42.9467268,-95.3693990
113753158,42.9469361,-95.3629273
114160897,42.9513352,-95.3789570
114160898,42.9459689,-95.3827876
114189306,42.9582437,-95.3689876
114189373,42.9550246,-95.3829478
114189379,42.9642564,-95.3721646
114189386,42.9557688,-95.3751873
114189394,42.9551748,-95.3683855
114189400,42.9552376,-95.3699967
114191831,42.9661186,-95.3786765
114191832,42.9731067,-95.3891278
114191893,42.9627978,-95.3798659
114191905,42.9674950,-95.3807241
114193897,42.9625677,-95.3851494
114204769,42.9767328,-95.3750730
114204779,42.9836873,-95.3828578
114204823,42.9875761,-95.3945365
114204860,42.9858274,-95.3720669
114204877,42.9907561,-95.3873136
114204890,42.9763226,-95.3664341
114204905,42.9614169,-95.3580312
114438277,42.9801320,-95.3527040
114438289,42.9466732,-95.3213061
114438321,42.9803880,-95.3609718
114438334,42.9533905,-95.3372795
114438344,42.9555782,-95.3308191
114438352,42.9803036,-95.3478542
114438383,42.9733091,-95.3572330
114438405,42.9395411,-95.3304491
114438408,42.9503966,-95.3361474
114438416,42.9549326,-95.3292607
114438422,42.9823262,-95.3497292
114551831,42.9046899,-95.3201806
114551835,42.9116258,-95.3191150
114731449,42.9078384,-95.3064079
114731530,42.9104078,-95.3119009
114802050,42.9237697,-95.2994455
114802065,42.9190738,-95.3079578
114802066,42.9232893,-95.3046607
114802096,42.9273982,-95.3065263
114803334,42.9138906,-95.3022259
114803337,42.9154822,-95.3013706
114804430,42.9087156,-95.3020941
114849585,42.9158606,-95.2904677
114849599,42.9076485,-95.2865023
114849658,42.9048359,-95.2739746
114849715,42.9042776,-95.2755168
114849741,42.9093527,-95.2960202
114849769,42.9209294,-95.2944435
114849812,42.9161035,-95.2873335
114849830,42.9063354,-95.2778189
114849844,42.9095768,-95.2884757
114849861,42.9208495,-95.2853777
114849876,42.9113732,-95.2925691
114852858,42.9365115,-95.3139255
114945341,42.9320643,-95.2857667
114945350,42.9503778,-95.3071106
114945380,42.9391607,-95.2992765
114956479,42.9615155,-95.3388183
114956495,42.9461428,-95.2795620
114956545,42.9613281,-95.3190811
114956557,42.9317399,-95.2771554
114961126,42.9208735,-95.2759161
114961153,42.9046171,-95.2595936
114961202,42.9119405,-95.2770361
114972954,42.9172059,-95.2622462
114977231,42.9206923,-95.2523049
114977271,42.9064686,-95.2532396
114977321,42.9091166,-95.2512258
114977332,42.9077703,-95.2464729
114993569,42.9078614,-95.2381740
114993578,42.9090200,-95.2297688
114993598,42.9126447,-95.2212522
114993643,42.9171544,-95.2399047
115085236,42.9064660,-95.1910154
115085242,42.9109592,-95.2081572
115085247,42.9115434,-95.1976746
115085248,42.9185850,-95.2040808
115085260,42.9121080,-95.2027860
115085283,42.9153358,-95.2060684
115085350,42.9222340,-95.2085663
115085393,42.9207288,-95.2202350
115095995,42.9050367,-95.2024726
115096994,42.9217888,-95.2032769
115099868,42.9191905,-95.1974177
115102210,42.9176477,-95.2025273
115134007,42.9148213,-95.1762563
115134032,42.9144996,-95.1667693
115134039,42.9257185,-95.2513548
115134041,42.9101812,-95.1663782
115134050,42.9317510,-95.2599038
115134072,42.9233956,-95.1897008
115188077,42.9083132,-95.1531652
115188315,42.9086742,-95.1459853
115188379,42.9105021,-95.1382101
115188642,42.9106283,-95.1408606
115188649,42.9088970,-95.1387507
115278137,42.9267199,-95.0965302
115278138,42.9303972,-95.0938038
115278543,42.9367276,-95.0943465
115319945,42.9092268,-95.1357350
115319993,42.9132783,-95.1250265
115319996,42.9080118,-95.1286807
115340641,42.9118776,-95.1188345
115340709,42.9246162,-95.1309623
115340720,42.9210488,-95.1135243
115340745,42.9207253,-95.1108134
115356186,42.9279947,-95.1059051
115356194,42.9284715,-95.1005540
115356197,42.9307773,-95.0994737
115356198,42.9243329,-95.1079814
115361822,42.9188460,-95.1233647
115401420,42.9268030,-95.1148955
115401423,42.9263630,-95.1186440
115401432,42.9172859,-95.1561945
115401461,42.9177020,-95.1417690
115401509,42.9273502,-95.1209362
115557424,42.8995793,-95.1146646
115557438,42.9122581,-95.1096584
115557443,42.9046751,-95.1136130
115557449,42.9066064,-95.1033584
115557481,42.9085572,-95.1131811
115567572,42.9252600,-95.0875655
115599797,42.9062649,-95.0828636
115599832,42.9088173,-95.0938394
115599833,42.9089958,-95.0954141
115599875,42.9251017,-95.0769758
115599879,42.9274056,-95.0825154
115599921,42.9035016,-95.0939565
115599939,42.9260824,-95.0747193
115599941,42.9049673,-95.0937891
115599951,42.9289390,-95.0886952
115599953,42.9326029,-95.0849387
115600010,42.9059351,-95.0632138
115600015,42.9168721,-95.0999595
115603245,42.9087841,-94.9176174
115603251,42.9111684,-94.9398889
115611498,42.9081861,-94.9302167
115618117,42.9169839,-94.9237718
115620458,42.9083996,-94.9749670
115620473,42.9150847,-94.9380010
115620503,42.9020976,-94.9633497
115620514,42.9121276,-94.9401197
115620530,42.9022157,-95.0027933
115620552,42.9063440,-94.9936673
115620593,42.9170167,-94.9631377
115620610,42.9021571,-94.9831107
115634093,42.9031109,-95.0230105
115634152,42.9289084,-95.0248111
115634192,42.9043428,-95.0435014
115634203,42.9242299,-95.0230356
115643246,42.9848111,-95.3891602
115655534,42.9350403,-94.9312748
115655541,42.9359878,-94.9436894
115655559,42.9359190,-94.9237619
115655586,42.9268607,-94.9343747
115655596,42.9169851,-95.0025997
115655609,42.9147907,-94.9854128
115655612,42.9377529,-94.9322076
115655614,42.9169777,-94.9828632
115655643,42.9374406,-94.9268662
115655666,42.9351788,-95.0029468
115655689,42.9324779,-94.9352972
115677534,42.9408163,-95.0990423
115677536,42.9494722,-95.1306979
115677558,42.9562852,-95.1409220
115677571,42.9583188,-95.1340907
115677581,42.9360994,-95.1037347
115833348,42.9503331,-95.1069897
115833350,42.9351925,-95.0793081
115833375,42.9413251,-95.0809630
115833387,42.9511674,-95.1259102
115833421,42.9505748,-95.0808557
115834994,42.9420597,-95.1240811
115834998,42.9430675,-95.1359183
115835013,42.9462410,-95.1376826
115835016,42.9455298,-95.1243293
115836021,42.9328861,-95.1196811
115836034,42.9458972,-95.1401477
115842753,42.9488190,-95.1531843
115842765,42.9455050,-95.1521717
115842775,42.9505834,-95.1518369
115849460,42.9509101,-95.1374325
115849474,42.9497056,-95.1580721
115849478,42.9505773,-95.1470357
115869000,42.9351824,-95.1564025
115869050,42.9355032,-95.1422261
115921107,42.9725131,-95.1452726
115921109,42.9766604,-95.1407749
115921110,42.9688733,-95.1200703
115921111,42.9771595,-95.1439400
115921120,42.9707178,-95.1852449
115921124,42.9667513,-95.1354066
115921126,42.9779329,-95.1664514
115921131,42.9764054,-95.1768722
115921133,42.9619706,-95.1237355
115921134,42.9642190,-95.1568966
115921140,42.9795980,-95.1496860
115921146,42.9666735,-95.1594676
115921153,42.9708814,-95.1626488
115921166,42.9742826,-95.1394329
115921170,42.9795010,-95.1745626
115921175,42.9700299,-95.1421374
115921184,42.9811298,-95.1808908
115922426,42.9841226,-95.2068978
115927212,42.9877604,-95.1310634
115927213,42.9710238,-95.1359369
115927214,42.9771777,-95.1281427
115927216,42.9812828,-95.1053443
115927222,42.9754841,-95.1094279
115927223,42.9806670,-95.1353108
115927225,42.9745280,-95.1195789
115927227,42.9754803,-95.1351980
115927229,42.9927917,-95.1468347
115927231,42.9912546,-95.1316709
115927235,42.9849849,-95.1314193
115927236,42.9816310,-95.1503028
115927239,42.9945818,-95.1408572
116040366,42.9800356,-95.1399002
116040386,42.9897276,-95.1376122
116040395,42.9888627,-95.1064384
116040399,42.9621308,-95.1474906
116040413,42.9947610,-95.0965217
116040415,42.9890236,-95.1562466
116040454,42.9798321,-95.1457298
116040476,42.9840240,-95.1395603
116040489,42.9896038,-95.1221530
116040496,42.9889193,-95.1437111
116040498,42.9944399,-95.1292556
116040528,42.9835432,-95.1462000
116042747,42.9805215,-95.1872653
116042754,42.9846851,-95.1937170
116042759,42.9838501,-95.1838794
116042761,42.9916009,-95.1937025
116042767,42.9891414,-95.1780667
116042777,42.9944885,-95.1873855
116042788,42.9886419,-95.1889380
116042789,42.9833878,-95.1737089
116042799,42.9849476,-95.1639827
116043437,42.9912273,-95.1671013
116044345,42.9329832,-95.3633789
116044346,42.9379191,-95.3754278
116044349,42.9383536,-95.3832326
116044351,42.9352502,-95.3670611
116076335,42.9687613,-95.1710997
116076697,42.9463579,-95.1626000
116077016,42.9794629,-95.2085635
116077024,42.9919986,-95.2026913
116077025,42.9736511,-95.2008101
116078157,42.9350902,-95.2009833
116079333,42.9316170,-95.2206512
116084018,42.9495706,-95.2010190
116100441,42.9317750,-95.2402464
116100459,42.9880740,-95.2369501
116100470,42.9613668,-95.2111464
116100474,42.9538479,-95.2121274
116100479,42.9971543,-95.2284683
116100486,42.9604430,-95.2009092
116100488,42.9945752,-95.2251940
116100490,42.9912457,-95.2253939
116100495,42.9698013,-95.2244017
116100513,42.9881695,-95.2185693
116100516,42.9940067,-95.2203444
116100518,42.9977760,-95.2316148
116111409,42.9966126,-95.2114380
116111410,42.9653734,-95.2144306
116111797,42.9904806,-95.2146330
116111799,42.9848607,-95.2200768
116114942,42.9771457,-95.2205556
116114972,42.9718859,-95.2295050
116114982,42.9696004,-95.2133392
116118457,42.9461099,-95.2207691
116143041,42.9461826,-95.2600168
116143123,42.9891473,-95.2450347
116143208,42.9598561,-95.2310909
116143247,42.9607438,-95.2403933
116271968,42.9607120,-95.2600255
116271989,42.9752185,-95.2403762
116272034,42.9780983,-95.2486284
116272055,42.9915989,-95.3731927
116337845,42.9897065,-95.3390495
116337847,42.9895629,-95.3586775
116337871,42.9824112,-95.3467951
116337878,42.9760627,-95.3389777
116383876,42.9823296,-95.3192566
116387468,43.0115132,-95.2717674
116387481,43.0111800,-95.2693129
116387482,43.0113988,-95.2871721
116404801,42.9894899,-95.2994422
116404815,42.9610718,-95.2993638
116405675,42.9608697,-95.2796416
116406289,42.9855888,-95.2879705
116410505,42.9754077,-95.2796329
116410515,42.9891691,-95.2599364
116410523,42.9751358,-95.2599474
116704002,42.9697501,-95.0540243
116704003,42.9752050,-95.0534901
116704004,42.9714510,-95.0841346
116704005,42.9567002,-95.0436583
116704006,42.9565699,-95.0501032
116704007,42.9735906,-95.0545779
116722712,42.9775908,-95.0966679
116802587,42.9590943,-95.0948790
116802593,42.9555238,-95.0940123
116802632,42.9566776,-95.1099248
116802641,42.9573147,-95.0994484
116831078,42.9649056,-95.0372862
116831181,42.9617071,-95.0234663
116831225,42.9639974,-95.0161506
116831252,42.9530137,-95.0110917
116831287,42.9497494,-95.0016004
116831295,42.9576889,-95.0243301
116844660,42.9598072,-95.0140954
116844665,42.9605780,-95.0434863
116844679,42.9697489,-95.0470012
116844685,42.9648868,-95.0552864
116844699,42.9655128,-95.0592499
116844708,42.9591844,-95.0583085
116935832,42.9460600,-95.0293824
116935880,42.9458675,-95.0398312
116937040,42.9426985,-95.0632596
116937243,42.9613984,-95.0680144
116937497,42.9617295,-95.0828037
116941392,42.9721703,-95.1030774
116941405,42.9726170,-95.0960961
116968600,42.9585670,-95.1162046
116968605,42.9652385,-95.1156109
116968607,42.9609402,-95.1141423
116968640,42.9620429,-95.1026287
116975166,42.9784253,-95.0835595
116975217,42.9896003,-95.0759866
116975241,42.9841038,-95.0925807
116975270,42.9936926,-95.0766509
116975297,42.9753582,-95.0912365
116975445,42.9885380,-95.0829942
117010466,42.9788238,-95.0640387
117070466,42.9992888,-95.0641476
117070473,42.9975677,-95.0605375
117074093,42.9822503,-95.0611118
117074099,42.9935119,-95.0616955
117212741,42.9975239,-95.0176548
117212774,42.9890654,-95.0216909
