@id,@lat,@lon
48290721,-2.3091254,28.9895591
49696992,-2.2672989,28.9558612
94410690,-2.7724040,18.2440151
94414158,-2.9617322,18.6464567
106634570,-1.9082052,30.0886559
126067269,-1.9623354,30.0975635
126560968,-1.8672862,30.1424420
133453380,-1.8711786,30.1685891
150323070,-1.8258193,29.2699425
151272897,-2.0317551,28.9216483
157868685,-1.2990405,29.9392756
161176481,1.0686433,22.0443461
161281447,0.7306877,22.3724607
161297002,0.6007909,23.4049277
170048247,0.5861076,30.3342060
170051032,0.6219919,30.3297433
170279683,0.5654813,30.3147107
190739518,-3.3209164,29.3486085
195121062,-1.6792477,29.0177345
195149905,-1.6665355,29.0923422
195149915,-1.6661601,29.0906940
195154735,-1.6794642,29.0159551
195155648,-1.6580941,29.0886448
195155650,-1.6583896,29.0900593
195155654,-1.6587314,29.0890624
195164417,-1.6829659,29.0182234
195364498,-1.7096914,29.0074455
195556709,-1.6814336,29.0053333
195643534,-1.7444791,28.9913930
195643536,-1.7373680,28.9832503
195643543,-1.7363993,28.9875105
196193050,-2.2931824,28.8170741
196559331,-1.2961555,28.7299079
196559364,-1.3040666,28.7260683
196559374,-1.3053270,28.7255380
196586989,-1.3026829,28.8011627
196586998,-1.3048496,28.7972198
196587049,-1.3060713,28.7997938
196587053,-1.3059006,28.7992973
196587057,-1.3053646,28.7968307
196587063,-1.3050107,28.7983316
196587069,-1.3047706,28.7981678
196587685,-1.3016160,28.7985875
196587687,-1.3032087,28.7996277
196587688,-1.3044508,28.7963335
196587689,-1.3056347,28.7978634
196595859,-1.3174071,28.7427422
196595864,-1.3176624,28.7420470
196600019,-1.3072089,28.7922306
196600020,-1.3061842,28.7994212
196600023,-1.3070649,28.7921776
196600025,-1.3077666,28.7927375
196600027,-1.3068166,28.7924505
196600032,-1.3019108,28.7932160
196600036,-1.3096637,28.8003789
196600043,-1.3064318,28.7991998
196600045,-1.2988744,28.7915644
196600048,-1.3003887,28.7928376
196600049,-1.2996264,28.7930703
196600050,-1.2997947,28.7926141
196600051,-1.3081123,28.8024998
196600053,-1.2992649,28.7922417
196600055,-1.2975014,28.7917784
196600057,-1.2974799,28.7908035
196600058,-1.2984526,28.7918806
196600060,-1.3002507,28.7932544
196600061,-1.3085064,28.8000090
196600062,-1.2986639,28.7887629
196600065,-1.2991667,28.7885556
196600072,-1.2961343,28.7962786
196600079,-1.3098872,28.8010393
196602497,-1.2909369,28.7960105
196602498,-1.2918788,28.7935774
196602499,-1.2909395,28.7957498
196602500,-1.2916443,28.7937123
196602503,-1.2956126,28.7918514
196602504,-1.2927008,28.7937019
196602505,-1.2912663,28.7931956
196602506,-1.2962048,28.7925943
196602507,-1.2902473,28.7944351
196602509,-1.2919975,28.7931599
196602510,-1.2906025,28.7961045
196602511,-1.2907825,28.7953119
196602512,-1.2906763,28.7956169
196602513,-1.2906294,28.7958882
196602514,-1.2917876,28.7933265
196602515,-1.2907401,28.7944485
