@id,@lat,@lon
234112056,-24.7190411,-53.6994634
234112518,-24.7237092,-53.6956257
234112522,-24.7277616,-53.6988688
234113197,-24.7300758,-53.6984332
234113916,-24.7269469,-53.6895922
234113917,-24.7316702,-53.6951547
234170640,-24.7407980,-53.6984609
234423634,-24.7290854,-53.6812262
234424089,-24.7341381,-53.6667492
234424091,-24.7367460,-53.6788353
234424565,-24.7342661,-53.6590683
234424566,-24.7347885,-53.6554655
234425354,-24.7378089,-53.6401364
234425356,-24.7393802,-53.6483452
234425697,-24.7356358,-53.6221040
234425698,-24.7350760,-53.6260528
234425700,-24.7370987,-53.6325213
234426539,-24.7358105,-53.6944413
234467276,-24.7400199,-53.6070324
234467279,-24.7372486,-53.5956068
234467281,-24.7419759,-53.6179348
234467286,-24.7412018,-53.6129892
234467288,-24.7416585,-53.5952257
234467291,-24.7404782,-53.6027040
234469246,-24.7401103,-53.5727693
234469247,-24.7401168,-53.5841738
234469248,-24.7351849,-53.5755478
234470114,-24.7340892,-53.5657162
234470115,-24.7332937,-53.5621586
234470116,-24.7302678,-53.5663702
234470118,-24.7330919,-53.5577606
234470122,-24.7352029,-53.5665932
234470123,-24.7325815,-53.5516352
234470128,-24.7305448,-53.5573812
234471421,-24.7398053,-53.5557427
234472137,-24.7408576,-53.5491555
234722529,-24.7163284,-53.6882233
234722534,-24.7148064,-53.6988913
235193828,-24.7217762,-53.6767114
235193829,-24.7245854,-53.6779566
235193830,-24.7155683,-53.6717192
235195591,-24.7101998,-53.6793389
235323626,-24.7257406,-53.6502944
235323630,-24.6989367,-53.6734049
235323639,-24.7262769,-53.6603977
235323645,-24.7234234,-53.6684581
235323654,-24.7204961,-53.6570160
235323663,-24.7198203,-53.6641690
235326124,-24.6911338,-53.6603434
235326125,-24.7061697,-53.6618397
235326126,-24.6966698,-53.6604957
235388724,-24.6848368,-53.6592840
235388725,-24.6856493,-53.6558099
235389013,-24.6831835,-53.6535368
235389468,-24.6771485,-53.6583746
235395967,-24.6789983,-53.6479612
235395968,-24.6772319,-53.6536824
235395970,-24.6788896,-53.6542550
235395971,-24.6830330,-53.6497233
235395972,-24.6826007,-53.6468270
235395973,-24.6828498,-53.6407284
235396348,-24.6719003,-53.6531018
235396349,-24.6727679,-53.6411567
235396350,-24.6713807,-53.6574853
235396352,-24.6749411,-53.6450278
235396353,-24.6837627,-53.6314304
235396354,-24.6783246,-53.6384371
235396356,-24.6647248,-53.6475595
235396589,-24.6636617,-53.6340681
235396590,-24.6537248,-53.6321490
235396591,-24.6553422,-53.6421156
235396618,-24.6650371,-53.6266441
235396645,-24.6737712,-53.6198464
235396646,-24.6738691,-53.6110902
235396647,-24.6751894,-53.6115358
235396649,-24.6688303,-53.6165307
235396651,-24.6669129,-53.6185737
235396987,-24.7027419,-53.5865359
235396988,-24.6859516,-53.5987947
235396989,-24.6919386,-53.5922432
235396990,-24.7123800,-53.5826637
235396993,-24.6791539,-53.6119374
235396997,-24.7084804,-53.5787880
235397012,-24.7157317,-53.5672889
235469511,-24.6876561,-53.6280523
235469513,-24.6835368,-53.6211865
235470041,-24.6875754,-53.6324595
235474063,-24.6881879,-53.5987888
235474066,-24.6913891,-53.6130993
235474069,-24.6952091,-53.6291011
235474087,-24.7024441,-53.6320110
235475693,-24.7036681,-53.6078509
235477225,-24.7042972,-53.5928111
235479622,-24.7202475,-53.6248189
235479623,-24.7151968,-53.6236083
235479624,-24.7263922,-53.6337799
235479626,-24.7114098,-53.6325751
235479627,-24.7281770,-53.6351185
235479628,-24.7105984,-53.6229991
235479630,-24.7273522,-53.6233569
235479632,-24.7225744,-53.6445719
235479633,-24.7057329,-53.6228186
235479635,-24.7200234,-53.6339465
235547195,-24.6941437,-53.6548574
235547196,-24.7070336,-53.6503929
235547203,-24.7085715,-53.6476814
235547206,-24.7014089,-53.6503647
235547210,-24.7063322,-53.6530389
235547770,-24.6943815,-53.6421036
235547771,-24.7079771,-53.6441021
235547775,-24.6924479,-53.6490579
235548040,-24.7016641,-53.6474140
235548801,-24.7199417,-53.6131266
235549160,-24.7272752,-53.5874204
235549161,-24.7303410,-53.5955726
235549162,-24.7163966,-53.6016632
235549165,-24.7203811,-53.5892061
235549167,-24.7198653,-53.6004004
235549498,-24.7254515,-53.5793442
235549500,-24.7303791,-53.5780684
235645796,-24.7245866,-53.5609820
235645810,-24.7216700,-53.5702402
235645817,-24.7281947,-53.5751793
235645823,-24.7164063,-53.5760899
235732488,-24.7077335,-53.6938441
235736557,-24.6733467,-53.6910553
235736559,-24.6679452,-53.6947224
235736560,-24.6797184,-53.6853089
235736561,-24.7013365,-53.6929574
235736563,-24.6944367,-53.6923803
235736565,-24.6990741,-53.6926993
235736567,-24.6847410,-53.6906656
235736569,-24.7035320,-53.6897596
235739346,-24.7031783,-53.6839221
235739348,-24.6949697,-53.6833187
235739350,-24.6913845,-53.6778238
235739353,-24.7078020,-53.6832420
235739355,-24.7014068,-53.6796283
235739358,-24.6934081,-53.6784897
235746648,-24.6782694,-53.6834731
235889111,-24.6895904,-53.6727506
235889118,-24.6968752,-53.6743270
235889121,-24.6781073,-53.6646492
235889130,-24.6863240,-53.6638545
235986061,-24.7089743,-53.7223855
235986074,-24.7069266,-53.7153339
248961668,-24.7093587,-53.5761636
249158077,-24.7274912,-53.6027416
251151032,-23.0558450,-54.1704350
251151036,-23.0554162,-54.1705189
251151038,-23.0559400,-54.1715600
254281185,-24.6808633,-53.6761845
254281677,-24.6645160,-53.6795477
254281825,-24.6682452,-53.6650997
254286567,-24.6658472,-53.6884388
254286583,-24.6669886,-53.6939991
254286584,-24.6650468,-53.6917989
254286585,-24.6635173,-53.6922699
254286586,-24.6633863,-53.6898714
254331197,-24.6630670,-53.6571208
254335394,-24.6386587,-53.6594403
254422966,-24.6257324,-53.6746290
254422974,-24.6146845,-53.6822918
254427801,-24.6566184,-53.6976844
254427949,-24.6418573,-53.7059033
254513882,-24.6329280,-53.7058638
254513889,-24.6295366,-53.6943803
254520473,-24.5815703,-53.7119891
254520479,-24.5814351,-53.7168078
254520491,-24.5865662,-53.7163701
254634405,-24.6103193,-53.6888762
254635621,-24.6347533,-53.6898171
254637498,-24.6456035,-53.6723340
254637511,-24.6500486,-53.6850882
254640127,-24.6558803,-53.6845988
254742690,-24.5276598,-53.7932320
254742694,-24.4933448,-53.8165519
254809263,-24.4877029,-53.8490081
254817049,-24.5651886,-53.7971845
255101104,-24.5484412,-53.7994199
255221265,-24.5157813,-53.8127976
